levelname,asctime,message,apk,version,phase,loadsJNI,local_port,remote_host,container,ip_source,port_source,method,host,url,port_dest,tls,ip_dest,https,cookie,PII,format,country,error,ip_anycast,android_rating,android_numDownloads,android_category,it_mentioned_by_policy,adequacy_decision_by_policy,countries_mentioned_by_policy,origins_transfers_outside_EEE,destinations_transfers_outside_EEE,frequency_transfers_outside_EEE,outside_EEE,stackTrace,TP-performed,TP-library,FP-intended,apk_it_gdpr_compliance
DEBUG,2023-12-14 19:11:52.844,Frida Results,com.pure.driverbrowser,40,dynamic,True,41114.0,crashlyticsreports-pa.googleapis.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:40.261,Frida Results,it.Gruner.Focus,100025,idle,True,38216.0,api-ne.paperlit.com,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:40.262,Frida Results,it.Gruner.Focus,100025,idle,True,44490.0,in.appcenter.ms,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:40.262,Frida Results,it.Gruner.Focus,100025,idle,True,36314.0,privappserver,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:40.262,Frida Results,it.Gruner.Focus,100025,idle,True,36318.0,privappserver,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:40.263,Frida Results,it.Gruner.Focus,100025,idle,True,36320.0,privappserver,,,,,,,,False,,False,,,,,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:44.898,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36314.0,POST,api.onesignal.com,https://api.onesignal.com/players,443.0,True,104.18.215.59,True,[],Device_Model,Clear_text,United States,None,True,3.5,100K+,News & Magazines,False,False,[],"['FR', 'BG', 'IE', 'GR', 'FR', 'RO']","['CH', 'RS', 'GB', 'RS', 'GB', 'GB']","[4, 3, 1, 1, 1, 1]",True,java.lang.Exception	at java.net.Socket.connect(Native Method)	at com.android.okhttp.internal.Platform.connectSocket(Platform.java:182)	at com.android.okhttp.internal.io.RealConnection.connectSocket(RealConnection.java:145)	at com.android.okhttp.internal.io.RealConnection.connect(RealConnection.java:116)	at com.android.okhttp.internal.http.StreamAllocation.findConnection(StreamAllocation.java:186)	at com.android.okhttp.internal.http.StreamAllocation.findHealthyConnection(StreamAllocation.java:128)	at com.android.okhttp.internal.http.StreamAllocation.newStream(StreamAllocation.java:97)	at com.android.okhttp.internal.http.HttpEngine.connect(HttpEngine.java:302)	at com.android.okhttp.internal.http.HttpEngine.sendRequest(HttpEngine.java:245)	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.execute(HttpURLConnectionImpl.java:465)	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.connect(HttpURLConnectionImpl.java:131)	at com.android.okhttp.internal.huc.HttpURLConnectionImpl.getOutputStream(HttpURLConnectionImpl.java:262)	at com.android.okhttp.internal.huc.DelegatingHttpsURLConnection.getOutputStream(DelegatingHttpsURLConnection.java:219)	at com.android.okhttp.internal.huc.HttpsURLConnectionImpl.getOutputStream(HttpsURLConnectionImpl.java:30)	at com.google.firebase.perf.network.c.C(InstrURLConnectionBase.java:1)	at com.google.firebase.perf.network.b.getOutputStream(InstrHttpsURLConnection.java:1)	at com.onesignal.i3.n(OneSignalRestClient.java:21)	at com.onesignal.i3.b(OneSignalRestClient.java:1)	at com.onesignal.i3$d.run(OneSignalRestClient.java:1)	at java.lang.Thread.run(Thread.java:923),True,com.google,True,False
DEBUG,2023-12-14 19:10:44.900,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36318.0,POST,firebaseremoteconfig.googleapis.com,https://firebaseremoteconfig.googleapis.com/v1/projects/570082065451/namespaces/fireperf:fetch,443.0,True,142.250.184.170,True,[],No-PII,No-format,Not-searched,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:46.169,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36320.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.184.10,True,[],Fingerprint,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:10:47.242,Connection intercepted,it.Gruner.Focus,100025,idle,False,,None,new_traffic,192.168.1.178,36320.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.184.10,True,[],Build_No,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
